,Count of Pixels,Grayscale Pixel Number
0,1759,0
1,334,1
2,329,2
3,389,3
4,436,4
5,431,5
6,513,6
7,564,7
8,580,8
9,659,9
10,721,10
11,790,11
12,845,12
13,915,13
14,977,14
15,1036,15
16,1121,16
17,1267,17
18,1366,18
19,1428,19
20,1399,20
21,1509,21
22,1560,22
23,1713,23
24,1793,24
25,1891,25
26,1924,26
27,1987,27
28,2025,28
29,2065,29
30,2123,30
31,2116,31
32,2189,32
33,2197,33
34,2314,34
35,2378,35
36,2382,36
37,2324,37
38,2474,38
39,2394,39
40,2446,40
41,2430,41
42,2522,42
43,2526,43
44,2562,44
45,2606,45
46,2691,46
47,2731,47
48,2693,48
49,2655,49
50,2698,50
51,2727,51
52,2786,52
53,2852,53
54,2906,54
55,2860,55
56,2924,56
57,2820,57
58,2900,58
59,2957,59
60,2911,60
61,2962,61
62,3131,62
63,3040,63
64,3027,64
65,3185,65
66,3077,66
67,3148,67
68,3149,68
69,3209,69
70,3196,70
71,3303,71
72,3231,72
73,3263,73
74,3422,74
75,3394,75
76,3373,76
77,3509,77
78,3373,78
79,3433,79
80,3444,80
81,3442,81
82,3444,82
83,3435,83
84,3446,84
85,3454,85
86,3524,86
87,3564,87
88,3513,88
89,3459,89
90,3564,90
91,3617,91
92,3550,92
93,3435,93
94,3508,94
95,3427,95
96,3528,96
97,3513,97
98,3473,98
99,3478,99
100,3483,100
101,3463,101
102,3518,102
103,3483,103
104,3325,104
105,3402,105
106,3383,106
107,3334,107
108,3369,108
109,3259,109
110,3333,110
111,3089,111
112,3293,112
113,3189,113
114,3324,114
115,3095,115
116,3134,116
117,3118,117
118,2942,118
119,3068,119
120,3074,120
121,2981,121
122,2811,122
123,2906,123
124,2926,124
125,2846,125
126,2772,126
127,2734,127
128,2693,128
129,2695,129
130,2689,130
131,2709,131
132,2603,132
133,2570,133
134,2552,134
135,2508,135
136,2506,136
137,2577,137
138,2540,138
139,2391,139
140,2336,140
141,2412,141
142,2504,142
143,2442,143
144,2457,144
145,2392,145
146,2214,146
147,2305,147
148,2310,148
149,2340,149
150,2299,150
151,2223,151
152,2286,152
153,2191,153
154,2144,154
155,2108,155
156,2069,156
157,1996,157
158,1941,158
159,1971,159
160,1845,160
161,1885,161
162,1790,162
163,1775,163
164,1699,164
165,1626,165
166,1541,166
167,1530,167
168,1488,168
169,1410,169
170,1357,170
171,1288,171
172,1189,172
173,1142,173
174,1051,174
175,921,175
176,830,176
177,797,177
178,692,178
179,602,179
180,563,180
181,511,181
182,467,182
183,417,183
184,398,184
185,339,185
186,304,186
187,253,187
188,233,188
189,202,189
190,197,190
191,157,191
192,137,192
193,161,193
194,101,194
195,97,195
196,89,196
197,79,197
198,56,198
199,55,199
200,45,200
201,52,201
202,40,202
203,40,203
204,35,204
205,29,205
206,25,206
207,18,207
208,23,208
209,24,209
210,15,210
211,15,211
212,11,212
213,12,213
214,15,214
215,7,215
216,9,216
217,7,217
218,7,218
219,5,219
220,4,220
221,4,221
222,1,222
223,4,223
224,3,224
225,1,230
226,1,232
227,2,233
228,1,234
229,1,246
