,Count of Pixels,Grayscale Pixel Number
0,745,0
1,290,1
2,400,2
3,538,3
4,709,4
5,855,5
6,1065,6
7,1245,7
8,1488,8
9,1784,9
10,2106,10
11,2380,11
12,2814,12
13,3147,13
14,3356,14
15,3637,15
16,3901,16
17,4174,17
18,4406,18
19,4643,19
20,4776,20
21,4779,21
22,5100,22
23,5200,23
24,5297,24
25,5413,25
26,5490,26
27,5477,27
28,5591,28
29,5681,29
30,5740,30
31,5726,31
32,5765,32
33,5782,33
34,6022,34
35,5847,35
36,5911,36
37,5955,37
38,5873,38
39,6040,39
40,6078,40
41,6113,41
42,6010,42
43,5981,43
44,6024,44
45,6078,45
46,6080,46
47,6102,47
48,5986,48
49,6351,49
50,6149,50
51,6043,51
52,6198,52
53,6070,53
54,5957,54
55,5918,55
56,6029,56
57,5855,57
58,5919,58
59,6039,59
60,5845,60
61,5885,61
62,5776,62
63,5555,63
64,5609,64
65,5685,65
66,5540,66
67,5284,67
68,5333,68
69,5425,69
70,5268,70
71,5309,71
72,5194,72
73,5079,73
74,5012,74
75,4985,75
76,4991,76
77,4877,77
78,4793,78
79,4771,79
80,4803,80
81,4620,81
82,4627,82
83,4716,83
84,4626,84
85,4575,85
86,4529,86
87,4438,87
88,4511,88
89,4617,89
90,4479,90
91,4570,91
92,4474,92
93,4388,93
94,4402,94
95,4362,95
96,4414,96
97,4509,97
98,4563,98
99,4546,99
100,4518,100
101,4477,101
102,4659,102
103,4525,103
104,4480,104
105,4718,105
106,4647,106
107,4524,107
108,4508,108
109,4464,109
110,4657,110
111,4604,111
112,4705,112
113,4696,113
114,4683,114
115,4656,115
116,4736,116
117,4779,117
118,4864,118
119,4911,119
120,4878,120
121,4886,121
122,4894,122
123,5044,123
124,5145,124
125,4961,125
126,5070,126
127,5202,127
128,5357,128
129,5189,129
130,5288,130
131,5384,131
132,5437,132
133,5518,133
134,5605,134
135,5672,135
136,5742,136
137,5736,137
138,5788,138
139,5864,139
140,5898,140
141,6035,141
142,6195,142
143,6403,143
144,6319,144
145,6587,145
146,6652,146
147,6930,147
148,6958,148
149,7229,149
150,7316,150
151,7728,151
152,7997,152
153,8266,153
154,8413,154
155,9195,155
156,9598,156
157,10139,157
158,10775,158
159,11440,159
160,12034,160
161,12894,161
162,13511,162
163,14379,163
164,15273,164
165,16377,165
166,17005,166
167,17960,167
168,18823,168
169,19662,169
170,20235,170
171,20878,171
172,21562,172
173,21758,173
174,22318,174
175,22336,175
176,22443,176
177,22002,177
178,21521,178
179,20890,179
180,19883,180
181,19010,181
182,17806,182
183,16543,183
184,15170,184
185,13700,185
186,12054,186
187,10734,187
188,9384,188
189,8243,189
190,6932,190
191,5956,191
192,4887,192
193,4108,193
194,3453,194
195,2747,195
196,2362,196
197,1851,197
198,1397,198
199,1234,199
200,1064,200
201,850,201
202,699,202
203,573,203
204,479,204
205,371,205
206,329,206
207,232,207
208,216,208
209,187,209
210,158,210
211,120,211
212,94,212
213,97,213
214,90,214
215,55,215
216,50,216
217,34,217
218,45,218
219,28,219
220,20,220
221,29,221
222,11,222
223,12,223
224,8,224
225,6,225
226,5,226
227,5,227
228,8,228
229,6,229
230,3,230
231,3,231
232,4,232
233,3,233
234,5,234
235,5,235
236,2,236
237,1,237
238,2,238
239,2,239
240,5,241
241,1,242
242,1,243
