,Count of Pixels,Grayscale Pixel Number
0,1,7
1,1,11
2,1,13
3,3,14
4,5,15
5,3,16
6,5,17
7,8,18
8,6,19
9,4,20
10,10,21
11,12,22
12,32,23
13,27,24
14,35,25
15,48,26
16,56,27
17,63,28
18,75,29
19,107,30
20,109,31
21,112,32
22,127,33
23,153,34
24,185,35
25,177,36
26,203,37
27,199,38
28,240,39
29,342,40
30,331,41
31,366,42
32,414,43
33,468,44
34,453,45
35,525,46
36,524,47
37,633,48
38,669,49
39,686,50
40,705,51
41,751,52
42,826,53
43,949,54
44,931,55
45,1014,56
46,1107,57
47,1100,58
48,1232,59
49,1329,60
50,1314,61
51,1483,62
52,1523,63
53,1503,64
54,1630,65
55,1703,66
56,1780,67
57,1965,68
58,1992,69
59,2129,70
60,2152,71
61,2244,72
62,2420,73
63,2551,74
64,2570,75
65,2664,76
66,2880,77
67,3007,78
68,3011,79
69,3062,80
70,3155,81
71,3424,82
72,3481,83
73,3540,84
74,3652,85
75,3698,86
76,3883,87
77,3925,88
78,4105,89
79,4180,90
80,4223,91
81,4414,92
82,4513,93
83,4590,94
84,4650,95
85,4915,96
86,4987,97
87,5076,98
88,5040,99
89,5235,100
90,5561,101
91,5495,102
92,5477,103
93,5632,104
94,5808,105
95,5875,106
96,6063,107
97,6028,108
98,6126,109
99,6239,110
100,6291,111
101,6458,112
102,6340,113
103,6560,114
104,6594,115
105,6685,116
106,6821,117
107,6805,118
108,6896,119
109,7019,120
110,7058,121
111,7121,122
112,7136,123
113,7190,124
114,7257,125
115,7310,126
116,7394,127
117,7452,128
118,7085,129
119,7250,130
120,7562,131
121,7511,132
122,7858,133
123,7512,134
124,7823,135
125,7781,136
126,7764,137
127,7908,138
128,8025,139
129,7831,140
130,7962,141
131,7964,142
132,8020,143
133,8022,144
134,8206,145
135,8128,146
136,8302,147
137,8172,148
138,8299,149
139,8328,150
140,8363,151
141,8521,152
142,8507,153
143,8713,154
144,8665,155
145,8627,156
146,8775,157
147,8618,158
148,8753,159
149,9002,160
150,8899,161
151,8851,162
152,8905,163
153,8959,164
154,8949,165
155,9003,166
156,9193,167
157,9172,168
158,9100,169
159,9202,170
160,9134,171
161,9274,172
162,9304,173
163,9218,174
164,9321,175
165,9240,176
166,9434,177
167,9253,178
168,9493,179
169,9499,180
170,10099,181
171,9907,182
172,9842,183
173,9922,184
174,10020,185
175,10203,186
176,10177,187
177,10099,188
178,10182,189
179,10388,190
180,10547,191
181,10358,192
182,10230,193
183,10216,194
184,11298,195
185,11442,196
186,11971,197
187,11987,198
188,12431,199
189,12631,200
190,13248,201
191,13360,202
192,13935,203
193,14498,204
194,14360,205
195,14792,206
196,15751,207
197,16519,208
198,17567,209
199,18447,210
200,19118,211
201,19281,212
202,20151,213
203,20115,214
204,20146,215
205,20481,216
206,21361,217
207,21488,218
208,21858,219
209,22160,220
210,21772,221
211,20994,222
212,20768,223
213,20632,224
214,21209,225
215,23302,226
216,21733,227
217,21122,228
218,19424,229
219,17105,230
220,14815,231
221,12622,232
222,10328,233
223,8175,234
224,5915,235
225,3828,236
226,2296,237
227,1292,238
228,753,239
229,442,240
230,296,241
231,226,242
232,181,243
233,108,244
234,51,245
235,57,246
236,27,247
237,25,248
238,9,249
239,8,250
240,5,251
241,1,252
