,Count of Pixels,Grayscale Pixel Number
0,1,7
1,1,11
2,1,12
3,1,13
4,3,14
5,3,15
6,5,16
7,10,17
8,10,18
9,13,19
10,20,20
11,12,21
12,24,22
13,24,23
14,37,24
15,49,25
16,51,26
17,46,27
18,79,28
19,66,29
20,88,30
21,87,31
22,119,32
23,110,33
24,127,34
25,138,35
26,161,36
27,161,37
28,209,38
29,217,39
30,264,40
31,269,41
32,281,42
33,329,43
34,350,44
35,344,45
36,400,46
37,427,47
38,474,48
39,488,49
40,540,50
41,588,51
42,624,52
43,606,53
44,707,54
45,750,55
46,775,56
47,805,57
48,893,58
49,868,59
50,1014,60
51,1034,61
52,1067,62
53,1227,63
54,1231,64
55,1206,65
56,1346,66
57,1337,67
58,1436,68
59,1539,69
60,1594,70
61,1704,71
62,1829,72
63,1883,73
64,1967,74
65,1979,75
66,2083,76
67,2182,77
68,2253,78
69,2370,79
70,2407,80
71,2458,81
72,2647,82
73,2692,83
74,2890,84
75,2812,85
76,3010,86
77,3001,87
78,3247,88
79,3305,89
80,3420,90
81,3529,91
82,3648,92
83,3721,93
84,3879,94
85,3867,95
86,3897,96
87,3970,97
88,4122,98
89,4332,99
90,4325,100
91,4490,101
92,4643,102
93,4616,103
94,4493,104
95,4584,105
96,4782,106
97,4881,107
98,4963,108
99,5056,109
100,5067,110
101,5159,111
102,5260,112
103,5411,113
104,5495,114
105,5575,115
106,5576,116
107,5699,117
108,5749,118
109,5744,119
110,5801,120
111,5880,121
112,6057,122
113,5973,123
114,5953,124
115,5859,125
116,6143,126
117,6014,127
118,6127,128
119,6229,129
120,6025,130
121,5915,131
122,6083,132
123,6567,133
124,6378,134
125,6699,135
126,6701,136
127,6604,137
128,6708,138
129,6771,139
130,6673,140
131,6947,141
132,6957,142
133,6909,143
134,7002,144
135,7108,145
136,7144,146
137,7372,147
138,7347,148
139,7465,149
140,7433,150
141,7782,151
142,8068,152
143,7909,153
144,8223,154
145,8471,155
146,8511,156
147,8960,157
148,8800,158
149,9217,159
150,9533,160
151,9771,161
152,10004,162
153,10541,163
154,11006,164
155,11262,165
156,11811,166
157,12398,167
158,14537,168
159,13596,169
160,14252,170
161,14830,171
162,15646,172
163,16093,173
164,16922,174
165,17896,175
166,16050,176
167,17447,177
168,19752,178
169,23668,179
170,18421,180
171,28264,181
172,23506,182
173,24897,183
174,25495,184
175,26620,185
176,28021,186
177,29619,187
178,31193,188
179,32726,189
180,34391,190
181,35937,191
182,36951,192
183,38429,193
184,26018,194
185,38671,195
186,38978,196
187,38777,197
188,37669,198
189,35456,199
190,33947,200
191,32320,201
192,30272,202
193,28212,203
194,24740,204
195,20828,205
196,16122,206
197,12130,207
198,8972,208
199,6379,209
200,4665,210
201,3294,211
202,2411,212
203,1755,213
204,1379,214
205,1032,215
206,809,216
207,654,217
208,460,218
209,371,219
210,320,220
211,231,221
212,161,222
213,136,223
214,88,224
215,59,225
216,57,226
217,37,227
218,27,228
219,22,229
220,27,230
221,8,231
222,6,232
223,8,233
224,3,234
225,1,235
226,3,237
227,1,242
