,Count of Pixels,Grayscale Pixel Number
0,2336,0
1,379,1
2,390,2
3,477,3
4,495,4
5,498,5
6,588,6
7,653,7
8,668,8
9,776,9
10,786,10
11,815,11
12,916,12
13,977,13
14,1129,14
15,1145,15
16,1202,16
17,1299,17
18,1394,18
19,1419,19
20,1529,20
21,1606,21
22,1638,22
23,1694,23
24,1727,24
25,1793,25
26,1834,26
27,1908,27
28,2036,28
29,2024,29
30,2045,30
31,2074,31
32,1973,32
33,2041,33
34,2059,34
35,2084,35
36,2005,36
37,2004,37
38,2046,38
39,2028,39
40,2088,40
41,2034,41
42,2075,42
43,2040,43
44,2030,44
45,1990,45
46,1991,46
47,1973,47
48,1916,48
49,1952,49
50,1953,50
51,1902,51
52,1939,52
53,1840,53
54,2027,54
55,1929,55
56,1858,56
57,1839,57
58,1769,58
59,1903,59
60,1797,60
61,1903,61
62,1819,62
63,1764,63
64,1722,64
65,1776,65
66,1705,66
67,1688,67
68,1688,68
69,1744,69
70,1696,70
71,1735,71
72,1616,72
73,1605,73
74,1622,74
75,1494,75
76,1653,76
77,1615,77
78,1609,78
79,1644,79
80,1629,80
81,1620,81
82,1625,82
83,1656,83
84,1608,84
85,1645,85
86,1634,86
87,1608,87
88,1560,88
89,1643,89
90,1645,90
91,1590,91
92,1639,92
93,1578,93
94,1569,94
95,1607,95
96,1572,96
97,1707,97
98,1597,98
99,1727,99
100,1663,100
101,1694,101
102,1727,102
103,1696,103
104,1734,104
105,1704,105
106,1720,106
107,1846,107
108,1786,108
109,1808,109
110,1839,110
111,1885,111
112,1877,112
113,1831,113
114,1863,114
115,1944,115
116,1926,116
117,1903,117
118,1966,118
119,1945,119
120,1971,120
121,2025,121
122,2104,122
123,2054,123
124,2057,124
125,2063,125
126,2128,126
127,2120,127
128,2108,128
129,2097,129
130,2155,130
131,2192,131
132,2324,132
133,2262,133
134,2284,134
135,2259,135
136,2301,136
137,2317,137
138,2446,138
139,2358,139
140,2377,140
141,2492,141
142,2484,142
143,2562,143
144,2558,144
145,2594,145
146,2697,146
147,2721,147
148,2642,148
149,2727,149
150,2855,150
151,2802,151
152,2804,152
153,2960,153
154,2969,154
155,3031,155
156,3132,156
157,3113,157
158,3083,158
159,3185,159
160,3370,160
161,3349,161
162,3453,162
163,3579,163
164,3531,164
165,3500,165
166,3726,166
167,3736,167
168,3759,168
169,3907,169
170,3938,170
171,3910,171
172,3969,172
173,3908,173
174,3951,174
175,4032,175
176,3963,176
177,3900,177
178,3768,178
179,3709,179
180,3591,180
181,3601,181
182,3452,182
183,3288,183
184,3104,184
185,2941,185
186,2796,186
187,2675,187
188,2446,188
189,2342,189
190,2111,190
191,1992,191
192,1704,192
193,1655,193
194,1437,194
195,1343,195
196,1205,196
197,1117,197
198,955,198
199,849,199
200,845,200
201,785,201
202,703,202
203,569,203
204,555,204
205,463,205
206,429,206
207,364,207
208,332,208
209,306,209
210,264,210
211,234,211
212,238,212
213,192,213
214,191,214
215,171,215
216,152,216
217,121,217
218,116,218
219,91,219
220,79,220
221,82,221
222,71,222
223,51,223
224,62,224
225,34,225
226,38,226
227,33,227
228,38,228
229,28,229
230,19,230
231,27,231
232,16,232
233,16,233
234,18,234
235,12,235
236,15,236
237,12,237
238,3,238
239,6,239
240,3,240
241,13,241
242,8,242
243,2,243
244,7,244
245,1,245
246,3,246
247,4,247
248,1,249
249,1,250
250,1,251
251,1,253
252,1,254
253,10,255
