,Count of Pixels,Grayscale Pixel Number
0,1597,0
1,296,1
2,304,2
3,363,3
4,377,4
5,407,5
6,401,6
7,439,7
8,490,8
9,468,9
10,527,10
11,499,11
12,610,12
13,602,13
14,664,14
15,675,15
16,661,16
17,709,17
18,735,18
19,826,19
20,800,20
21,892,21
22,939,22
23,926,23
24,1027,24
25,1074,25
26,1144,26
27,1134,27
28,1200,28
29,1271,29
30,1245,30
31,1309,31
32,1387,32
33,1419,33
34,1423,34
35,1416,35
36,1438,36
37,1505,37
38,1513,38
39,1581,39
40,1566,40
41,1674,41
42,1671,42
43,1698,43
44,1754,44
45,1825,45
46,1715,46
47,1825,47
48,1795,48
49,1810,49
50,1824,50
51,1808,51
52,1991,52
53,1896,53
54,1977,54
55,1909,55
56,1927,56
57,1936,57
58,1877,58
59,1976,59
60,1929,60
61,1962,61
62,1983,62
63,1918,63
64,1945,64
65,1944,65
66,1870,66
67,1964,67
68,1862,68
69,1852,69
70,1848,70
71,1827,71
72,1725,72
73,1783,73
74,1734,74
75,1722,75
76,1655,76
77,1683,77
78,1631,78
79,1573,79
80,1587,80
81,1547,81
82,1483,82
83,1465,83
84,1519,84
85,1441,85
86,1453,86
87,1439,87
88,1410,88
89,1392,89
90,1398,90
91,1325,91
92,1348,92
93,1312,93
94,1248,94
95,1296,95
96,1223,96
97,1238,97
98,1245,98
99,1239,99
100,1148,100
101,1226,101
102,1274,102
103,1237,103
104,1174,104
105,1174,105
106,1186,106
107,1243,107
108,1083,108
109,1150,109
110,1176,110
111,1161,111
112,1128,112
113,1189,113
114,1157,114
115,1187,115
116,1124,116
117,1160,117
118,1185,118
119,1262,119
120,1194,120
121,1191,121
122,1218,122
123,1238,123
124,1266,124
125,1224,125
126,1297,126
127,1269,127
128,1372,128
129,1337,129
130,1315,130
131,1452,131
132,1439,132
133,1424,133
134,1538,134
135,1506,135
136,1522,136
137,1554,137
138,1590,138
139,1686,139
140,1695,140
141,1738,141
142,1801,142
143,1936,143
144,1947,144
145,2090,145
146,2045,146
147,2229,147
148,2253,148
149,2321,149
150,2462,150
151,2507,151
152,2760,152
153,2975,153
154,2949,154
155,3123,155
156,3196,156
157,3446,157
158,3583,158
159,3754,159
160,4052,160
161,4171,161
162,4476,162
163,4749,163
164,4857,164
165,5051,165
166,5463,166
167,5598,167
168,5852,168
169,6088,169
170,6221,170
171,6350,171
172,6744,172
173,6814,173
174,6820,174
175,6822,175
176,6842,176
177,6777,177
178,6766,178
179,6667,179
180,6430,180
181,6223,181
182,6142,182
183,5829,183
184,5404,184
185,4995,185
186,4595,186
187,4165,187
188,3761,188
189,3195,189
190,2878,190
191,2475,191
192,2205,192
193,1785,193
194,1465,194
195,1224,195
196,974,196
197,823,197
198,683,198
199,517,199
200,436,200
201,350,201
202,337,202
203,237,203
204,229,204
205,198,205
206,169,206
207,136,207
208,116,208
209,107,209
210,90,210
211,57,211
212,72,212
213,62,213
214,49,214
215,47,215
216,40,216
217,47,217
218,34,218
219,32,219
220,24,220
221,22,221
222,18,222
223,21,223
224,14,224
225,9,225
226,8,226
227,14,227
228,12,228
229,5,229
230,9,230
231,4,231
232,4,232
233,5,233
234,3,234
235,6,235
236,6,236
237,4,237
238,2,238
239,2,239
240,3,240
241,2,241
242,2,242
243,1,243
244,3,244
245,1,245
246,1,249
247,1,251
248,2,253
249,2,254
250,6,255
