,Count of Pixels,Grayscale Pixel Number
0,1896,0
1,258,1
2,305,2
3,323,3
4,371,4
5,373,5
6,425,6
7,468,7
8,462,8
9,511,9
10,522,10
11,536,11
12,651,12
13,632,13
14,722,14
15,728,15
16,729,16
17,817,17
18,874,18
19,890,19
20,969,20
21,1014,21
22,995,22
23,1054,23
24,1112,24
25,1176,25
26,1178,26
27,1142,27
28,1170,28
29,1239,29
30,1286,30
31,1258,31
32,1147,32
33,1206,33
34,1246,34
35,1253,35
36,1317,36
37,1311,37
38,1274,38
39,1384,39
40,1288,40
41,1346,41
42,1353,42
43,1321,43
44,1323,44
45,1395,45
46,1381,46
47,1400,47
48,1430,48
49,1419,49
50,1463,50
51,1358,51
52,1416,52
53,1387,53
54,1433,54
55,1376,55
56,1454,56
57,1445,57
58,1465,58
59,1416,59
60,1420,60
61,1518,61
62,1446,62
63,1534,63
64,1484,64
65,1465,65
66,1486,66
67,1512,67
68,1475,68
69,1465,69
70,1479,70
71,1542,71
72,1553,72
73,1489,73
74,1522,74
75,1569,75
76,1546,76
77,1542,77
78,1410,78
79,1560,79
80,1585,80
81,1512,81
82,1647,82
83,1610,83
84,1575,84
85,1587,85
86,1560,86
87,1503,87
88,1511,88
89,1572,89
90,1517,90
91,1548,91
92,1560,92
93,1527,93
94,1612,94
95,1540,95
96,1535,96
97,1603,97
98,1535,98
99,1551,99
100,1624,100
101,1613,101
102,1542,102
103,1645,103
104,1594,104
105,1608,105
106,1580,106
107,1630,107
108,1601,108
109,1592,109
110,1616,110
111,1643,111
112,1687,112
113,1692,113
114,1563,114
115,1647,115
116,1664,116
117,1644,117
118,1588,118
119,1564,119
120,1734,120
121,1638,121
122,1642,122
123,1703,123
124,1619,124
125,1710,125
126,1710,126
127,1756,127
128,1729,128
129,1777,129
130,1768,130
131,1800,131
132,1783,132
133,1838,133
134,1827,134
135,1826,135
136,1734,136
137,1903,137
138,1879,138
139,1916,139
140,1936,140
141,2012,141
142,2011,142
143,2040,143
144,1967,144
145,2117,145
146,2140,146
147,2110,147
148,2238,148
149,2214,149
150,2364,150
151,2324,151
152,2444,152
153,2468,153
154,2625,154
155,2635,155
156,2747,156
157,2792,157
158,2820,158
159,2942,159
160,3048,160
161,3098,161
162,3280,162
163,3315,163
164,3540,164
165,3865,165
166,4007,166
167,4295,167
168,4454,168
169,4883,169
170,5085,170
171,5556,171
172,5758,172
173,6255,173
174,6630,174
175,7202,175
176,7512,176
177,7733,177
178,7781,178
179,7705,179
180,7588,180
181,7347,181
182,6902,182
183,6370,183
184,5602,184
185,5115,185
186,4290,186
187,3760,187
188,3145,188
189,2655,189
190,2160,190
191,1870,191
192,1629,192
193,1316,193
194,1127,194
195,912,195
196,786,196
197,690,197
198,634,198
199,527,199
200,471,200
201,385,201
202,349,202
203,315,203
204,269,204
205,244,205
206,214,206
207,195,207
208,155,208
209,145,209
210,140,210
211,116,211
212,104,212
213,87,213
214,87,214
215,79,215
216,64,216
217,49,217
218,45,218
219,53,219
220,38,220
221,39,221
222,36,222
223,24,223
224,19,224
225,21,225
226,25,226
227,16,227
228,14,228
229,9,229
230,6,230
231,13,231
232,7,232
233,9,233
234,3,234
235,6,235
236,6,236
237,2,237
238,2,238
239,1,240
240,2,241
241,1,243
242,2,246
243,1,250
244,1,251
245,1,254
