,Count of Pixels,Grayscale Pixel Number
0,1,3
1,2,6
2,2,7
3,5,8
4,1,9
5,7,11
6,8,12
7,11,13
8,9,14
9,12,15
10,22,16
11,27,17
12,33,18
13,49,19
14,68,20
15,63,21
16,79,22
17,100,23
18,105,24
19,125,25
20,185,26
21,154,27
22,188,28
23,232,29
24,269,30
25,291,31
26,314,32
27,343,33
28,392,34
29,382,35
30,464,36
31,490,37
32,493,38
33,516,39
34,601,40
35,658,41
36,685,42
37,780,43
38,786,44
39,808,45
40,832,46
41,879,47
42,930,48
43,1026,49
44,1007,50
45,1046,51
46,1099,52
47,1223,53
48,1250,54
49,1361,55
50,1346,56
51,1443,57
52,1496,58
53,1548,59
54,1533,60
55,1621,61
56,1802,62
57,1810,63
58,1833,64
59,1876,65
60,1858,66
61,1881,67
62,2049,68
63,2216,69
64,2202,70
65,2395,71
66,2333,72
67,2530,73
68,2510,74
69,2592,75
70,2646,76
71,2711,77
72,2792,78
73,2919,79
74,3038,80
75,3146,81
76,3103,82
77,3235,83
78,3243,84
79,3389,85
80,3542,86
81,3541,87
82,3677,88
83,3604,89
84,3849,90
85,3909,91
86,3938,92
87,4070,93
88,4083,94
89,4046,95
90,4299,96
91,4348,97
92,4506,98
93,4551,99
94,4544,100
95,4647,101
96,4911,102
97,4746,103
98,4925,104
99,5032,105
100,5074,106
101,5061,107
102,5146,108
103,5211,109
104,5335,110
105,5453,111
106,5527,112
107,5698,113
108,5751,114
109,5609,115
110,5834,116
111,5965,117
112,6036,118
113,6208,119
114,6078,120
115,6170,121
116,6365,122
117,6206,123
118,6328,124
119,6473,125
120,6653,126
121,6565,127
122,6711,128
123,6691,129
124,6619,130
125,6276,131
126,6598,132
127,6876,133
128,6800,134
129,7189,135
130,7024,136
131,7119,137
132,7028,138
133,7192,139
134,7145,140
135,7310,141
136,7346,142
137,7351,143
138,7256,144
139,7298,145
140,7369,146
141,7492,147
142,7393,148
143,7448,149
144,7411,150
145,7463,151
146,7431,152
147,7502,153
148,7578,154
149,7622,155
150,7726,156
151,7758,157
152,7582,158
153,7565,159
154,7822,160
155,7798,161
156,7888,162
157,7895,163
158,7957,164
159,7985,165
160,8224,166
161,8394,167
162,8813,168
163,8400,169
164,8385,170
165,8843,171
166,8945,172
167,8824,173
168,8996,174
169,9269,175
170,8797,176
171,9035,177
172,9574,178
173,10545,179
174,9422,180
175,11370,181
176,10488,182
177,10810,183
178,10839,184
179,11441,185
180,11388,186
181,11768,187
182,11989,188
183,12588,189
184,12848,190
185,13358,191
186,13667,192
187,14488,193
188,11700,194
189,15330,195
190,16199,196
191,16986,197
192,17859,198
193,18810,199
194,20113,200
195,20981,201
196,21970,202
197,23053,203
198,24221,204
199,26021,205
200,27187,206
201,29337,207
202,31219,208
203,33783,209
204,37260,210
205,40150,211
206,42674,212
207,43360,213
208,41538,214
209,38275,215
210,33149,216
211,27468,217
212,22041,218
213,16836,219
214,12729,220
215,9084,221
216,6309,222
217,4663,223
218,3455,224
219,2651,225
220,2257,226
221,1735,227
222,1372,228
223,1151,229
224,865,230
225,722,231
226,541,232
227,488,233
228,357,234
229,264,235
230,186,236
231,133,237
232,101,238
233,93,239
234,65,240
235,38,241
236,29,242
237,19,243
238,8,244
239,5,245
240,2,246
241,4,247
242,1,249
