,Count of Pixels,Grayscale Pixel Number
0,1,10
1,1,11
2,1,12
3,3,13
4,1,14
5,2,15
6,3,16
7,6,17
8,12,18
9,11,19
10,20,20
11,21,21
12,26,22
13,25,23
14,32,24
15,52,25
16,61,26
17,60,27
18,85,28
19,95,29
20,114,30
21,140,31
22,173,32
23,196,33
24,222,34
25,234,35
26,231,36
27,301,37
28,291,38
29,330,39
30,429,40
31,479,41
32,485,42
33,515,43
34,612,44
35,648,45
36,702,46
37,728,47
38,791,48
39,793,49
40,880,50
41,978,51
42,1123,52
43,1204,53
44,1275,54
45,1279,55
46,1388,56
47,1418,57
48,1613,58
49,1667,59
50,1801,60
51,1940,61
52,1911,62
53,2072,63
54,2302,64
55,2290,65
56,2377,66
57,2418,67
58,2531,68
59,2737,69
60,2915,70
61,2993,71
62,3114,72
63,3346,73
64,3541,74
65,3528,75
66,3715,76
67,3713,77
68,4002,78
69,4013,79
70,4186,80
71,4405,81
72,4593,82
73,4679,83
74,4997,84
75,4916,85
76,4979,86
77,5211,87
78,5399,88
79,5347,89
80,5681,90
81,5813,91
82,5635,92
83,5735,93
84,6089,94
85,6201,95
86,6134,96
87,6317,97
88,6460,98
89,6713,99
90,6579,100
91,6691,101
92,6854,102
93,6692,103
94,6688,104
95,6879,105
96,6868,106
97,6976,107
98,6998,108
99,6974,109
100,6903,110
101,6984,111
102,7049,112
103,6935,113
104,7034,114
105,6897,115
106,7045,116
107,6907,117
108,6921,118
109,7024,119
110,6898,120
111,6779,121
112,6623,122
113,6708,123
114,6612,124
115,6579,125
116,6606,126
117,6536,127
118,6778,128
119,6515,129
120,6239,130
121,6048,131
122,5783,132
123,6247,133
124,6230,134
125,6300,135
126,6151,136
127,6249,137
128,6155,138
129,6278,139
130,5993,140
131,6071,141
132,5928,142
133,5911,143
134,6075,144
135,5938,145
136,5879,146
137,6028,147
138,5896,148
139,5957,149
140,5910,150
141,6073,151
142,5981,152
143,6065,153
144,6170,154
145,6097,155
146,6046,156
147,6234,157
148,6187,158
149,6240,159
150,6266,160
151,6435,161
152,6351,162
153,6482,163
154,6520,164
155,6583,165
156,6662,166
157,6898,167
158,7169,168
159,6865,169
160,6752,170
161,7059,171
162,7105,172
163,7133,173
164,7191,174
165,7366,175
166,7315,176
167,7285,177
168,7569,178
169,7855,179
170,7591,180
171,8200,181
172,7749,182
173,8128,183
174,7956,184
175,8089,185
176,8008,186
177,8153,187
178,8271,188
179,8260,189
180,8257,190
181,8304,191
182,8245,192
183,8589,193
184,7301,194
185,8277,195
186,8500,196
187,8728,197
188,8828,198
189,9046,199
190,9048,200
191,9100,201
192,9417,202
193,9838,203
194,9869,204
195,10157,205
196,10395,206
197,11086,207
198,11125,208
199,11657,209
200,12255,210
201,12546,211
202,12745,212
203,12681,213
204,12600,214
205,12529,215
206,12295,216
207,11813,217
208,11152,218
209,10651,219
210,9686,220
211,8810,221
212,7629,222
213,6932,223
214,5578,224
215,4616,225
216,3939,226
217,3162,227
218,2538,228
219,1890,229
220,1409,230
221,1099,231
222,814,232
223,592,233
224,378,234
225,272,235
226,201,236
227,120,237
228,77,238
229,46,239
230,25,240
231,30,241
232,19,242
233,8,243
234,4,244
235,3,245
236,2,248
