,Count of Pixels,Grayscale Pixel Number
0,1,7
1,1,11
2,1,13
3,1,15
4,2,16
5,1,17
6,2,18
7,4,19
8,2,20
9,6,21
10,5,22
11,6,23
12,11,24
13,3,25
14,12,26
15,21,27
16,23,28
17,19,29
18,27,30
19,37,31
20,34,32
21,43,33
22,54,34
23,60,35
24,71,36
25,72,37
26,95,38
27,105,39
28,130,40
29,143,41
30,151,42
31,147,43
32,126,44
33,188,45
34,202,46
35,229,47
36,237,48
37,292,49
38,289,50
39,323,51
40,378,52
41,429,53
42,424,54
43,460,55
44,478,56
45,544,57
46,672,58
47,629,59
48,695,60
49,729,61
50,796,62
51,889,63
52,968,64
53,972,65
54,997,66
55,1044,67
56,1152,68
57,1241,69
58,1418,70
59,1457,71
60,1584,72
61,1711,73
62,1791,74
63,1812,75
64,2039,76
65,2145,77
66,2255,78
67,2302,79
68,2388,80
69,2647,81
70,2822,82
71,2970,83
72,3130,84
73,3094,85
74,3302,86
75,3424,87
76,3584,88
77,3773,89
78,3915,90
79,4032,91
80,4073,92
81,4276,93
82,4408,94
83,4575,95
84,4619,96
85,4815,97
86,4860,98
87,5119,99
88,5089,100
89,5118,101
90,5294,102
91,5417,103
92,5583,104
93,5779,105
94,5779,106
95,5758,107
96,5981,108
97,6092,109
98,5984,110
99,6044,111
100,6150,112
101,6455,113
102,6310,114
103,6429,115
104,6633,116
105,6632,117
106,6614,118
107,6709,119
108,6793,120
109,6885,121
110,6955,122
111,6861,123
112,7155,124
113,6979,125
114,7234,126
115,7092,127
116,7266,128
117,7094,129
118,6803,130
119,6748,131
120,6961,132
121,7395,133
122,7466,134
123,7490,135
124,7394,136
125,7599,137
126,7590,138
127,7751,139
128,7603,140
129,7742,141
130,7641,142
131,7578,143
132,7878,144
133,7864,145
134,7744,146
135,7920,147
136,7893,148
137,7968,149
138,8074,150
139,8043,151
140,8204,152
141,8178,153
142,8178,154
143,8309,155
144,8101,156
145,8427,157
146,8400,158
147,8486,159
148,8449,160
149,8797,161
150,8615,162
151,8618,163
152,9024,164
153,9172,165
154,8925,166
155,9009,167
156,9940,168
157,9547,169
158,9772,170
159,10089,171
160,10251,172
161,10446,173
162,10971,174
163,11388,175
164,10895,176
165,11319,177
166,12199,178
167,14572,179
168,12385,180
169,17292,181
170,15390,182
171,16412,183
172,16812,184
173,17585,185
174,18207,186
175,19199,187
176,19930,188
177,20805,189
178,21644,190
179,22579,191
180,23748,192
181,24940,193
182,15760,194
183,26759,195
184,28504,196
185,30112,197
186,31461,198
187,33630,199
188,35595,200
189,37287,201
190,40348,202
191,43105,203
192,46357,204
193,49290,205
194,51239,206
195,50941,207
196,47800,208
197,45958,209
198,43685,210
199,39695,211
200,33393,212
201,25819,213
202,20189,214
203,16906,215
204,14031,216
205,12689,217
206,10762,218
207,9780,219
208,8555,220
209,7883,221
210,6665,222
211,5665,223
212,4691,224
213,3575,225
214,2813,226
215,1783,227
216,1342,228
217,950,229
218,692,230
219,539,231
220,439,232
221,324,233
222,210,234
223,171,235
224,132,236
225,84,237
226,54,238
227,43,239
228,21,240
229,16,241
230,9,242
231,4,243
232,2,244
233,3,245
234,1,247
235,3,248
236,1,249
